,user,question,question_class,v1_answer,v2:model-20230626-203321
337,118,What Is Testing criteria,whQuestion,"A testing criteria or technique is a set of rules which define the information to be used to create a test set, in order to fulfill some objective. For example, the white-box testing uses the information of the code’s structure to create a test set.","A test selection criterion is a means of selecting test cases or determining that a set of test cases is sufficient for a specified purpose. Test adequacy criteria can be used to decide when sufficient testing will be, or has been accomplished."
338,118,What Is white-box texting,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
339,118,What Is Black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
340,118,what is white box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
341,118,what is software failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
342,118,white box testing,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
343,119,Hélio,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
344,119,Hello,Greet,"Hi there, what do you need?",Hi
345,119,What is fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
346,119,What is error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
347,119,What is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
348,119,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
349,119,What is dynamic verification,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
350,119,What is design mostra-me,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
351,119,What is design mistakes,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
352,119,What is design,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
353,119,What is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
354,119,What is test ser,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
355,119,What is test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
356,119,Unit test,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
357,119,What is unit test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
358,119,What is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
359,119,What are the three main phase the software testing,Clarify,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
360,119,What is test adequacy criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
361,119,What is functional testing,whQuestion,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
362,119,What is partitioning test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
363,119,What is partitioning testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",I don't understand what you mean
364,11,TOB_STT iniciar conversa,Statement,Hi there! What's your name?,"Sorry, I didn't understand your question, could you repeat?"
365,120,What os a software restinga,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
366,120,What is a software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
367,121,hi,Greet,"Hi there, what do you need?",Hi
368,121,What is effective test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
369,121,what is successful test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
370,121,what is testing coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
371,121,what is testing coverage in test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
372,121,which are properties of a test set,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",The test set is composed by several test cases that are used in a software testing activity.
373,121,what are property of test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
374,121,what is oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
375,121,what is difference between functional and fault-based techniques,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
376,121,what is test adequacy criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
377,122,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
378,122,what is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
379,122,fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Suppose you have a program that, by the software requirements, should accept names with up to 20 digits, but the software developer reserved only 15 digits in the database. That is a defect in the software definition and can lead to an error."
380,122,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
381,122,what is an error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
382,122,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
383,122,what is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
384,122,what is a test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
385,122,what is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
386,122,what is testing coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
387,122,what is the coverage of a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
388,122,test set,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",The test set is composed by several test cases that are used in a software testing activity.
389,122,what is a test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
390,122,what is the difference between test set and test case,Clarify,"The test set is composed by several test cases that are used in a software testing activity. A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
391,122,can you give me an example of the testing coverage of a test set,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
392,122,is software testing dynamic,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
393,122,what is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
394,122,what are the phases of software tsting,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
395,122,what are the phases of software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
396,122,what is integration testing,whQuestion,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
397,122,what is equivalence partitioning,whQuestion,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
398,123,What Is is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
399,123,What is an error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
400,123,What is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
401,123,What is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
402,123,What is testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
403,123,What is White box testing,Clarify,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
404,123,White box,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
405,123,What is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
406,123,What is integration testing,whQuestion,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
407,124,hi,Greet,"Hi there, what do you need?",Hi
408,124,hi,Greet,Welcome!,Hi
409,124,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
410,124,what does software testing consists of,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
411,124,what makes up software testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
412,124,when is a test successful,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
413,124,how do i apply,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","It depends of the functional testing criterion used. The most common criteria used in functional testing are equivalence partitioning and boundary-value analysis. Please, ask me how to use equivalence partitioning criterion and/or boundary-value analysis criterion"
414,124,how do i apply a test case,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
415,124,how do i use test case,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
416,124,what error,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",An error is a state of execution of the program which is not expected and may lead to an incorrect result.
417,124,what is error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
418,124,what is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
419,124,when is a state in error,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",An error is a state of execution of the program which is not expected and may lead to an incorrect result.
420,124,what is sequence,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
421,124,no,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
422,124,what is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
423,124,can you give me an example of test coverage,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
424,124,goodbye,Statement,Nice talking to you!,Bye!
425,124,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
426,124,what is oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
427,124,what tools have been developed for testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
428,124,what is jebfjqndkkcmoek testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
429,124,what is jenwj jwbcunw wj wufbwub1jsud testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
430,124,what are the phases of testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
431,125,What is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
432,125,What is an error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
433,125,What is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
434,125,What is a test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
435,125,What is test coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
436,125,What is testing coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
437,125,What is the testing coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
438,125,What is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
439,125,What is the oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
440,125,What is white-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
441,125,What is white box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
442,125,What is a black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
443,125,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
444,126,Hi,Greet,"Hello, how are you?",Hi
445,126,I m frustraded with the end of the last GoT episode What about you,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
446,126,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
447,126,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
448,126,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
449,126,what is a successful test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
450,126,do tests show only presence of failures,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
451,126,what a test can show,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
452,126,what is an error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
453,126,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
454,126,adequacy criteria,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
455,126,adequacy,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
456,126,what is equivalence oartitioning,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
457,126,what is equivalence partitioning,whQuestion,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
458,127,hi,Greet,"Hi there, what do you need?",Hi
459,127,what is software fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
460,127,what is software error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
461,127,what is software failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
462,127,what is white-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
463,127,what is a black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
464,127,what is black box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
465,128,Hello,Greet,"Hello, ask me a question!",Hi
466,128,No,nAnswer,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
467,128,No,nAnswer,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
468,128,What Software test consista of,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
469,128,What Software test consists of,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
470,128,What consists software test,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
471,128,Limitations of software testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
472,128,What are the limitations of software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
473,128,Successful test,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
474,128,Software fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
475,128,Software fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
476,128,What is software fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
477,128,What is software error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
478,128,What is software failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
479,128,You are terrible,Reject,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
480,128,What is state of program,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
481,128,What is program state,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
482,128,What is a practical problem associated,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
483,128,What is a practical problem associated with software teating,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
