,Unnamed: 0,user,question,question_class,answer_v1,answer_v2
581,581,132,what is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
582,582,133,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
583,583,133,What is a successful test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
584,584,133,What is an effective test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
585,585,133,Software fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
586,586,133,What is software fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
587,587,133,What is an error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
588,588,133,What is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
589,589,133,What is test set,whQuestion,The test set is composed by several test cases that are used in a software testing activity.,The test set is composed by several test cases that are used in a software testing activity.
590,590,133,What is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
591,591,133,What is coverage criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
592,592,133,What is coverage criterion,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
593,593,133,What is oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
594,594,133,What is an oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
595,595,133,What is white box test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
596,596,133,What is white-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
597,597,133,What is partitioning equuvalence,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
598,598,134,What is your purpose,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
599,599,134,Why,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
600,600,134,what is black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
601,601,134,what is white-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
602,602,134,afosaj testing sfaofsaojfa,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
603,603,134,what ajfisajsif testing asfasjfisao,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
604,604,134,what testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
605,605,134,what is testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
606,606,134,what sfnoajif is fsajfioas testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
607,607,134,what is testing yabadadauvhfsudadsd,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
608,608,134,fsjaofsaio what is testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
609,609,134,what is chicken testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
610,610,134,what is banada,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
611,611,134,what is banana testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
612,612,134,what is sdouisajd testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
613,613,134,what is black box,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
614,614,134,what is black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
615,615,134,what is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
616,616,134,help,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
617,617,134,what is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
618,618,134,unit testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
619,619,134,how do you unit test,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","To create a test set using the McCabe criterion, first write down a complete path always making decisions in predicate nodes to avoid loops (or the first path could be the result of a random real input). Then, the following paths should be equal to the previous one, but changing the decision of the first predicate node not changed yet. After you cannot add any more paths, you have exactly C paths, where C is the McCabe complexity of your CFG. You should create test cases the exercise this paths. This test set also has the property that it satisfies statement coverage and branch coverage criterions."
620,620,134,what is functional testing,whQuestion,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
621,621,134,what is structural testing,whQuestion,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
622,622,134,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
623,623,134,what is oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
624,624,134,what is,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
625,625,134,what is *,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
626,626,134,[(FROM ANSWERS DROP *)],Clarify,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
627,627,134,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
628,628,134,what is orcle,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
629,629,134,--hepl,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
630,630,134,--help,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
631,631,134,"or""""=""""",Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
632,632,134,test,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
633,633,134,test,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
634,634,134,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
635,635,134,what is functional testing,whQuestion,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
636,636,134,what time is it,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
637,637,134,who are you,whQuestion,"I am TOB-STT, a software testing teaching assistant!","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
638,638,134,what is your quest,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
639,639,134,what is your favorite color,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
640,640,134,what is the top speed of an unladen swallow,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
641,641,134,Open the pod bay doors,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
642,642,135,why do we use test adequacy criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
643,643,135,test adequacy criteria,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
644,644,135,software test phases,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
645,645,135,help,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
646,646,135,what are unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
647,647,135,what are integration testing,whQuestion,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
648,648,136,Fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
649,649,136,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
650,650,136,what is a error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
651,651,136,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
652,652,137,hi,Greet,Welcome!,Hi
653,653,137,how are you,whQuestion,"I am fine, what about you",I don't understand what you mean
654,654,137,fine thanks,Statement,You are welcome! :),No worries!
655,655,137,what is your name,whQuestion,"I am TOB-STT, a software testing teaching assistant!","Sorry, I didn't understand your question, could you repeat?"
656,656,138,hi,Greet,"Hi there, what do you need?",Hi
657,657,138,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
658,658,139,I need to know what is software testing,Statement,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
659,659,139,what is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
660,660,139,what is white box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
661,661,139,WHAT IS FUNCTIONAL TESTING,Statement,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
662,662,13,TOB_STT iniciar conversa,Statement,Hi there! What's your name?,"Sorry, I didn't understand your question, could you repeat?"
663,663,140,what is white-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
664,664,140,what is fdjsakfhdsjaf testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
665,665,141,jfdklsajfdlsajfsdl,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Bye!
666,666,142,hello to,Greet,Welcome!,Hi
667,667,142,how are you,whQuestion,Great! How are you?,I don't understand what you mean
668,668,142,fine,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
669,669,142,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
670,670,142,define model testing,Statement,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
671,671,142,model based testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
672,672,142,can you define black box testing,Clarify,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
673,673,142,can you define fault,ynQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
674,674,142,what is falua,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
675,675,142,what is fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
676,676,142,what is mutation testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",I don't understand what you mean
677,677,142,what is mutation,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
678,678,142,what is black box,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
679,679,142,can you give me an example of omission fault,Statement,"Suppose you have a program that, by the software requirements, should accept names with up to 20 digits, but the software developer reserved only 15 digits in the database. That is a defect in the software definition and can lead to an error.","A defect is an incorrect data definition. In your code, it could be an access of inexistent position in a vector, for instance."
680,680,142,can you give me an example of incorrect fact,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
681,681,142,can you give me an example of stranger Information,Emphasis,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
682,682,142,what is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
683,683,142,what is test data,whQuestion,The test data (or test input) is the input data and the parameters associated with a specified test case.,The test data (or test input) is the input data and the parameters associated with a specified test case.
684,684,142,what is test Domain,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
685,685,142,what is input domain,whQuestion,The input domain is a set of values that can be used to execute a certain program. The input domain specifies all the possible sets of values.,The input domain is a set of values that can be used to execute a certain program. The input domain specifies all the possible sets of values.
686,686,142,what is inconsistent information,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
687,687,142,can you give me an example of inconsistent information,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
688,688,143,hi,Greet,Welcome!,Hi
689,689,143,tanks,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",No worries!
690,690,143,hi,Greet,"Hi there, what do you need?",Hi
691,691,143,give me an example of omission,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
692,692,143,examplo of emission,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
693,693,143,Can you give me a example of omission,ynQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
694,694,143,Can you give me a example of equivalence class partitioning criteria,ynQuestion,"Here is an example of an application of equivalence partitioning. Consider the following specification: one of the fields of a form is a text box that accepts numeric values from 18 to 25. For this problem, a value that belongs to an invalid equivalence class is 17, whereas a value belonging to a valid equivalence class is, for instance, 20.","Sorry, I didn't quite catch that"
695,695,143,Wkato is stranger information,yAnswer,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
696,696,143,what is strange information,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
697,697,143,what is structural testing,whQuestion,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
698,698,143,what is functional testing,whQuestion,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
699,699,143,what is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
700,700,143,what is integration testing,whQuestion,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
701,701,143,what is test selection criterion,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
702,702,143,what is selection test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
703,703,144,hi,Greet,Welcome!,Hi
704,704,144,pk,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",No worries!
705,705,144,ok,Statement,OK!,"Sorry, I didn't quite catch that"
706,706,144,ok,Statement,OK!,"Sorry, I didn't quite catch that"
707,707,144,What is a Software Fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
708,708,144,What is a Software Error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
709,709,144,What is a Software Failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
710,710,144,what are design mistakes,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
711,711,144,what is a defect of omission,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
712,712,144,What is inconsistency,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
713,713,144,What is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
714,714,144,what is Structural testing,whQuestion,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
